question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count,context,filter_condition,module_base_unweighted_n,module_base_weighted_n
2025-064a_q4,Have you used artificial intelligence (AI) tools in your work or personal life at all the past month?,AI Adoption Survey June 2025,have-you-used-artificial-intelligence-ai-tools-in-your-work-or-personal-life-at-all-the-past-month,https://github.com/Verasight/verasight-report-2025-064a,1000,999.9999999999825,+/- 3.1%,false,2,,,1000,999.9999999999825
2025-064c_q1,"Which of the following activities, if any, have you done in the past month?",AI Adoption Survey August 2025,which-of-the-following-activities-if-any-have-you-done-in-the-past-month,https://github.com/Verasight/verasight-report-2025-064b,1000,999.9999999999825,+/- 3.1%,true,8,,,1000,999.9999999999825
2025-064c_q10,Which of the following AI tools have you used in the last month?,AI Adoption Survey August 2025,which-of-the-following-ai-tools-have-you-used-in-the-last-month,https://github.com/Verasight/verasight-report-2025-064b,950,,+/- 3.1%,true,9,,If Which of the following AI tools have you heard of? (Select all that apply) None of the above Is Not Selected,1000,999.9999999999825
2025-064c_q11,"When it comes to your personal life, what types of tasks do you use AI for?",AI Adoption Survey August 2025,when-it-comes-to-your-personal-life-what-types-of-tasks-do-you-use-ai-for,https://github.com/Verasight/verasight-report-2025-064b,633,,+/- 3.9%,true,9,,,1000,999.9999999999825
2025-064c_q12,Are there any tasks that AI now does for you that you used to do yourself?,AI Adoption Survey August 2025,are-there-any-tasks-that-ai-now-does-for-you-that-you-used-to-do-yourself,https://github.com/Verasight/verasight-report-2025-064b,633,640.1099243329375,+/- 3.9%,false,2,,,1000,999.9999999999825
2025-064c_q13,Which best describes you?,AI Adoption Survey August 2025,which-best-describes-you,https://reports.verasight.io/reports/august-ai-survey-2025#which-best-describes-you,1000,999.9999999999825,+/- 3.1%,false,4,,,1000,999.9999999999825
2025-064c_q14,When it comes to your physical and mental health what did you use AI for?,AI Adoption Survey August 2025,when-it-comes-to-your-physical-and-mental-health-what-did-you-use-ai-for,https://reports.verasight.io/reports/august-ai-survey-2025#when-it-comes-to-your-physical-and-mental-health-what-did-you-use-ai-for,1000,999.9999999999825,+/- 3.1%,true,9,,,1000,999.9999999999825
2025-064c_q15,"Compared with talking to a human you know, how comfortable would you be discussing sensitive personal topics with an AI assistant?",AI Adoption Survey August 2025,compared-with-talking-to-a-human-you-know-how-comfortable-would-you-be-discussing-sensitive-personal-topics-with-an-ai-assistant,https://reports.verasight.io/reports/august-ai-survey-2025#compared-with-talking-to-a-human-you-know-how-comfortable-would-you-be-discussing-sensitive-personal-topics-with-an-ai-assistant,1000,999.9999999999825,+/- 3.1%,false,6,,,1000,999.9999999999825
2025-064c_q16,"If you felt significantly distressed tonight, how likely is it that you would consult an AI assistant before reaching out to a human?",AI Adoption Survey August 2025,if-you-felt-significantly-distressed-tonight-how-likely-is-it-that-you-would-consult-an-ai-assistant-before-reaching-out-to-a-human,https://reports.verasight.io/reports/august-ai-survey-2025#if-you-felt-significantly-distressed-tonight-how-likely-is-it-that-you-would-consult-an-ai-assistant-before-reaching-out-to-a-human,1000,999.9999999999825,+/- 3.1%,false,5,,,1000,999.9999999999825
2025-064c_q17,"Overall, interacting with AI about feelings/mental health has been...",AI Adoption Survey August 2025,overall-interacting-with-ai-about-feelings-mental-health-has-been,https://reports.verasight.io/reports/august-ai-survey-2025#overall-interacting-with-ai-about-feelings-mental-health-has-been,223,232.69520402492307,+/- 6.6%,false,6,,"If Which best describes you? I used an AI tool for mental-health or emotional-support purposes in the past 30 days Is Selected , Or Which best describes you? I have used an AI for that before, but not in the past 30 days Is Selected",1000,999.9999999999825
2025-064c_q18,"Thinking about any AI you use most often, how emotionally attached do you feel to it?",AI Adoption Survey August 2025,thinking-about-any-ai-you-use-most-often-how-emotionally-attached-do-you-feel-to-it,https://reports.verasight.io/reports/august-ai-survey-2025#thinking-about-any-ai-you-use-most-often-how-emotionally-attached-do-you-feel-to-it,223,232.69520402492307,+/- 6.6%,false,6,,"If Which best describes you? I used an AI tool for mental-health or emotional-support purposes in the past 30 days Is Selected , Or Which best describes you? I have used an AI for that before, but not in the past 30 days Is Selected",1000,999.9999999999825
2025-064c_q20,"In the past 30 days, have you",AI Adoption Survey August 2025,in-the-past-30-days-have-you,https://reports.verasight.io/reports/august-ai-survey-2025#in-the-past-30-days-have-you,223,,+/- 6.6%,true,7,,"If Which best describes you? I used an AI tool for mental-health or emotional-support purposes in the past 30 days Is Selected , Or Which best describes you? I have used an AI for that before, but not in the past 30 days Is Selected",1000,999.9999999999825
2025-064c_q21,"If your primary AI assistant that you use for mental health were permanently shut down tomorrow, how would you feel?",AI Adoption Survey August 2025,if-your-primary-ai-assistant-that-you-use-for-mental-health-were-permanently-shut-down-tomorrow-how-would-you-feel,https://reports.verasight.io/reports/august-ai-survey-2025#if-your-primary-ai-assistant-that-you-use-for-mental-health-were-permanently-shut-down-tomorrow-how-would-you-feel,223,232.69520402492304,+/- 6.6%,false,6,,"If Which best describes you? I used an AI tool for mental-health or emotional-support purposes in the past 30 days Is Selected , Or Which best describes you? I have used an AI for that before, but not in the past 30 days Is Selected",1000,999.9999999999825
2025-064c_q22_1,To what extent do you believe your main AI assistant... - Understands you,AI Adoption Survey August 2025,to-what-extent-do-you-believe-your-main-ai-assistant-understands-you,https://reports.verasight.io/reports/august-ai-survey-2025#to-what-extent-do-you-believe-your-main-ai-assistant-understands-you,223,232.69520402492304,+/- 6.6%,false,5,,"If Which best describes you? I used an AI tool for mental-health or emotional-support purposes in the past 30 days Is Selected , Or Which best describes you? I have used an AI for that before, but not in the past 30 days Is Selected",1000,999.9999999999825
